country,code,electricity_consumption,country_flag,series_id
Denmark,DA,32.703,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/DA-flag.gif,INTL.2-2-DNK-BKWH.A
Bulgaria,BU,33.134,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BU-flag.gif,INTL.2-2-BGR-BKWH.A
Belarus,BO,32.736,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BO-flag.gif,INTL.2-2-BLR-BKWH.A
Serbia,RI,30.292,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RI-flag.gif,INTL.2-2-SRB-BKWH.A
Oman,MU,31.766,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MU-flag.gif,INTL.2-2-OMN-BKWH.A
Morocco,MO,29.678,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MO-flag.gif,INTL.2-2-MAR-BKWH.A
Libya,LY,25.693,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LY-flag.gif,INTL.2-2-LBY-BKWH.A
Slovakia,LO,26.237,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LO-flag.gif,INTL.2-2-SVK-BKWH.A
Bahrain,BA,27.447,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BA-flag.gif,INTL.2-2-BHR-BKWH.A
Ireland,EI,27.203,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EI-flag.gif,INTL.2-2-IRL-BKWH.A
Nigeria,NI,29.011,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NI-flag.gif,INTL.2-2-NGA-BKWH.A
Ecuador,EC,24.605,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EC-flag.gif,INTL.2-2-ECU-BKWH.A
Azerbaijan,AJ,20.286,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AJ-flag.gif,INTL.2-2-AZE-BKWH.A
Puerto Rico,RQ,15.466,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RQ-flag.gif,INTL.2-2-PRI-BKWH.A
Iceland,IC,18.679,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IC-flag.gif,INTL.2-2-ISL-BKWH.A
Jordan,JO,17.384,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/JO-flag.gif,INTL.2-2-JOR-BKWH.A
Cuba,CU,16.341,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CU-flag.gif,INTL.2-2-CUB-BKWH.A
Croatia,HR,17.475,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HR-flag.gif,INTL.2-2-HRV-BKWH.A
